quick, 100, 638, 333, 0.000005
insert, 100, 4950, 0, 0.000011
merge, 100, 317, 672, 0.000021
quick, 200, 1463, 768, 0.000009
insert, 200, 19900, 0, 0.000043
merge, 200, 742, 1544, 0.000043
quick, 300, 2514, 1460, 0.000014
insert, 300, 44850, 0, 0.000098
merge, 300, 1204, 2488, 0.000062
quick, 400, 3375, 1977, 0.000019
insert, 400, 79800, 0, 0.000169
merge, 400, 1700, 3488, 0.000128
quick, 500, 4365, 2236, 0.000034
insert, 500, 124750, 0, 0.000264
merge, 500, 2263, 4488, 0.000145
quick, 600, 5823, 2932, 0.000041
insert, 600, 179700, 0, 0.000373
merge, 600, 2731, 5576, 0.000195
quick, 700, 7411, 4252, 0.000050
insert, 700, 244650, 0, 0.000519
merge, 700, 3279, 6676, 0.000142
quick, 800, 8040, 4271, 0.000042
insert, 800, 319600, 0, 0.000693
merge, 800, 3862, 7776, 0.000150
quick, 900, 10583, 5485, 0.000048
insert, 900, 404550, 0, 0.000887
merge, 900, 4451, 8876, 0.000223
quick, 1000, 10649, 6005, 0.000054
insert, 1000, 499500, 0, 0.001074
merge, 1000, 5106, 9976, 0.000296
quick, 1100, 11233, 5669, 0.000060
insert, 1100, 604450, 0, 0.001292
merge, 1100, 5613, 11152, 0.000226
quick, 1200, 14019, 6786, 0.000076
insert, 1200, 719400, 0, 0.001568
merge, 1200, 6186, 12352, 0.000247
quick, 1300, 14846, 8781, 0.000072
insert, 1300, 844350, 0, 0.001861
merge, 1300, 6812, 13552, 0.000415
quick, 1400, 16500, 7815, 0.000078
insert, 1400, 979300, 0, 0.002075
merge, 1400, 7415, 14752, 0.000455
quick, 1500, 17914, 9576, 0.000118
insert, 1500, 1124250, 0, 0.002532
merge, 1500, 8139, 15952, 0.000316
quick, 1600, 19007, 10512, 0.000091
insert, 1600, 1279200, 0, 0.002748
merge, 1600, 8740, 17152, 0.000374
quick, 1700, 20755, 10420, 0.000096
insert, 1700, 1444150, 0, 0.003002
merge, 1700, 9362, 18352, 0.000436
quick, 1800, 21168, 11434, 0.000111
insert, 1800, 1619100, 0, 0.003550
merge, 1800, 10060, 19552, 0.000725
quick, 1900, 23179, 11565, 0.000110
insert, 1900, 1804050, 0, 0.003949
merge, 1900, 10723, 20752, 0.000302
quick, 2000, 23677, 13455, 0.000115
insert, 2000, 1999000, 0, 0.004279
merge, 2000, 11429, 21952, 0.000291
quick, 2100, 27121, 14848, 0.000121
insert, 2100, 2203950, 0, 0.004935
merge, 2100, 12063, 23204, 0.000316
quick, 2200, 26506, 14403, 0.000125
insert, 2200, 2418900, 0, 0.005308
merge, 2200, 12711, 24504, 0.000349
quick, 2300, 27864, 15923, 0.000132
insert, 2300, 2643850, 0, 0.005763
merge, 2300, 13330, 25804, 0.000424
quick, 2400, 31841, 17589, 0.000181
insert, 2400, 2878800, 0, 0.006248
merge, 2400, 13970, 27104, 0.000414
quick, 2500, 34160, 14639, 0.000156
insert, 2500, 3123750, 0, 0.006568
merge, 2500, 14696, 28404, 0.000375
quick, 2600, 36107, 17109, 0.000156
insert, 2600, 3378700, 0, 0.007538
merge, 2600, 15394, 29704, 0.000442
quick, 2700, 35148, 18565, 0.000155
insert, 2700, 3643650, 0, 0.007825
merge, 2700, 16114, 31004, 0.000749
quick, 2800, 39446, 19521, 0.000162
insert, 2800, 3918600, 0, 0.008340
merge, 2800, 16800, 32304, 0.000403
quick, 2900, 37930, 18366, 0.000193
insert, 2900, 4203550, 0, 0.009046
merge, 2900, 17542, 33604, 0.000482
quick, 3000, 38499, 19451, 0.000186
insert, 3000, 4498500, 0, 0.009507
merge, 3000, 18380, 34904, 0.000460
quick, 3100, 41743, 21041, 0.000193
insert, 3100, 4803450, 0, 0.010520
merge, 3100, 19068, 36204, 0.000439
quick, 3200, 42373, 22885, 0.000205
insert, 3200, 5118400, 0, 0.011044
merge, 3200, 19749, 37504, 0.000472
quick, 3300, 42241, 21621, 0.000209
insert, 3300, 5443350, 0, 0.011591
merge, 3300, 20395, 38804, 0.000718
quick, 3400, 47496, 26243, 0.000199
insert, 3400, 5778300, 0, 0.012482
merge, 3400, 21032, 40104, 0.000471
quick, 3500, 45855, 23286, 0.000200
insert, 3500, 6123250, 0, 0.013159
merge, 3500, 21814, 41404, 0.000493
quick, 3600, 47653, 25276, 0.000208
insert, 3600, 6478200, 0, 0.013891
merge, 3600, 22637, 42704, 0.000531
quick, 3700, 48964, 23955, 0.000249
insert, 3700, 6843150, 0, 0.014386
merge, 3700, 23231, 44004, 0.000525
quick, 3800, 51285, 24337, 0.000273
insert, 3800, 7218100, 0, 0.014921
merge, 3800, 24042, 45304, 0.000772
quick, 3900, 53511, 27506, 0.000245
