quick, 100, 534, 312, 0.000004
dual, 100, 2496, 9, 0.000031
quick, 100, 612, 316, 0.000004
dual, 100, 1151, 193, 0.000003
quick, 100, 722, 511, 0.000004
dual, 100, 1718, 142, 0.000004
quick, 100, 598, 391, 0.000004
dual, 100, 1960, 113, 0.000004
quick, 100, 682, 335, 0.000004
dual, 100, 2336, 58, 0.000005
quick, 100, 605, 383, 0.000004
dual, 100, 2123, 91, 0.000005
quick, 100, 596, 384, 0.000004
dual, 100, 1660, 144, 0.000004
quick, 100, 578, 351, 0.000004
dual, 100, 1291, 180, 0.000003
quick, 100, 597, 344, 0.000004
dual, 100, 2377, 45, 0.000005
quick, 100, 632, 328, 0.000004
dual, 100, 1718, 142, 0.000004
quick, 100, 604, 401, 0.000004
dual, 100, 2500, 0, 0.000005
quick, 100, 580, 350, 0.000004
dual, 100, 2339, 55, 0.000005
quick, 100, 591, 381, 0.000004
dual, 100, 1007, 200, 0.000003
quick, 100, 732, 380, 0.000004
dual, 100, 770, 222, 0.000002
quick, 100, 642, 422, 0.000004
dual, 100, 2446, 30, 0.000005
quick, 100, 620, 430, 0.000004
dual, 100, 1005, 204, 0.000003
quick, 100, 645, 404, 0.000004
dual, 100, 2226, 77, 0.000005
quick, 100, 562, 356, 0.000004
dual, 100, 2500, 0, 0.000006
quick, 100, 648, 411, 0.000004
dual, 100, 2470, 23, 0.000005
quick, 100, 646, 354, 0.000004
dual, 100, 1867, 124, 0.000004
quick, 100, 620, 396, 0.000004
dual, 100, 1005, 204, 0.000003
quick, 100, 664, 365, 0.000004
dual, 100, 1077, 196, 0.000003
quick, 100, 788, 364, 0.000004
dual, 100, 2500, 0, 0.000005
quick, 100, 608, 362, 0.000004
dual, 100, 2379, 48, 0.000005
quick, 100, 736, 456, 0.000004
dual, 100, 2083, 94, 0.000005
quick, 100, 717, 480, 0.000004
dual, 100, 846, 213, 0.000002
quick, 100, 700, 408, 0.000004
dual, 100, 1769, 135, 0.000004
quick, 100, 767, 337, 0.000004
dual, 100, 1358, 175, 0.000003
quick, 100, 643, 478, 0.000004
dual, 100, 849, 215, 0.000002
quick, 100, 652, 339, 0.000004
dual, 100, 2043, 100, 0.000005
quick, 100, 581, 355, 0.000004
dual, 100, 2485, 15, 0.000005
quick, 100, 645, 367, 0.000004
dual, 100, 1715, 140, 0.000004
quick, 100, 623, 397, 0.000004
dual, 100, 2485, 15, 0.000006
quick, 100, 545, 348, 0.000004
dual, 100, 1866, 125, 0.000004
quick, 100, 610, 391, 0.000004
dual, 100, 516, 239, 0.000002
quick, 100, 646, 394, 0.000004
dual, 100, 1358, 170, 0.000003
quick, 100, 594, 399, 0.000004
dual, 100, 2500, 0, 0.000005
quick, 100, 579, 375, 0.000004
dual, 100, 2359, 52, 0.000005
quick, 100, 674, 500, 0.000004
dual, 100, 1358, 175, 0.000003
quick, 100, 683, 482, 0.000004
dual, 100, 690, 229, 0.000002
quick, 100, 708, 428, 0.000004
dual, 100, 1915, 119, 0.000004
quick, 100, 631, 410, 0.000004
dual, 100, 2041, 99, 0.000005
quick, 100, 647, 464, 0.000004
dual, 100, 2226, 76, 0.000005
quick, 100, 736, 372, 0.000004
dual, 100, 1150, 189, 0.000003
quick, 100, 634, 380, 0.000004
dual, 100, 1819, 129, 0.000004
quick, 100, 712, 348, 0.000004
dual, 100, 1293, 181, 0.000003
quick, 100, 725, 396, 0.000004
dual, 100, 2337, 57, 0.000005
quick, 100, 635, 408, 0.000004
dual, 100, 2500, 0, 0.000005
quick, 100, 668, 448, 0.000004
dual, 100, 2500, 0, 0.000005
quick, 100, 668, 406, 0.000004
dual, 100, 2446, 30, 0.000005
quick, 100, 718, 421, 0.000004
dual, 100, 1547, 159, 0.000004
quick, 100, 619, 335, 0.000004
dual, 100, 606, 235, 0.000002
quick, 100, 566, 404, 0.000004
dual, 100, 2085, 96, 0.000005
quick, 100, 633, 323, 0.000004
dual, 100, 849, 215, 0.000002
quick, 100, 585, 351, 0.000004
dual, 100, 1915, 119, 0.000004
quick, 100, 715, 444, 0.000004
dual, 100, 2416, 38, 0.000005
quick, 100, 615, 414, 0.000004
dual, 100, 1718, 142, 0.000004
quick, 100, 679, 323, 0.000004
dual, 100, 2496, 9, 0.000005
quick, 100, 651, 349, 0.000004
dual, 100, 1358, 175, 0.000003
quick, 100, 681, 385, 0.000004
dual, 100, 2432, 34, 0.000005
quick, 100, 565, 349, 0.000004
dual, 100, 770, 222, 0.000002
quick, 100, 633, 361, 0.000004
dual, 100, 690, 229, 0.000002
quick, 100, 657, 341, 0.000004
dual, 100, 1001, 201, 0.000003
quick, 100, 656, 453, 0.000004
dual, 100, 2432, 34, 0.000005
quick, 100, 797, 495, 0.000004
dual, 100, 1602, 152, 0.000004
quick, 100, 621, 394, 0.000004
